 id  |         name          | folder_id 
-----+-----------------------+-----------
 111 | undefined - undefined |          
 116 | undefined - undefined |          
 119 | undefined - undefined |          
 127 | undefined - undefined |          
 131 | undefined - undefined |          
 134 | undefined - undefined |          
 140 | undefined - undefined |          
 142 | undefined - undefined |          
 144 | undefined - undefined |          
 155 | undefined - undefined |          
 159 | undefined - undefined |          
 161 | undefined - undefined |          
 165 | undefined - undefined |          
 167 | undefined - undefined |          
 169 | undefined - undefined |          
 171 | undefined - undefined |          
 112 | undefined - undefined |          
 115 | undefined - undefined |          
 121 | undefined - undefined |          
 132 | undefined - undefined |          
 156 | undefined - undefined |          
 158 | undefined - undefined |          
 163 | undefined - undefined |          
 166 | undefined - undefined |          
 176 | undefined - undefined |          
 178 | undefined - undefined |          
 180 | undefined - undefined |          
 117 | undefined - undefined |          
 122 | undefined - undefined |          
 129 | undefined - undefined |          
 130 | undefined - undefined |          
 133 | undefined - undefined |          
 135 | undefined - undefined |          
 136 | undefined - undefined |          
 138 | undefined - undefined |          
 146 | undefined - undefined |          
 147 | undefined - undefined |          
 152 | undefined - undefined |          
 154 | undefined - undefined |          
 173 | undefined - undefined |          
 182 | undefined - undefined |          
 113 | undefined - undefined |          
 120 | undefined - undefined |          
 123 | undefined - undefined |          
 124 | undefined - undefined |          
 125 | undefined - undefined |          
 126 | undefined - undefined |          
 128 | undefined - undefined |          
 137 | undefined - undefined |          
 139 | undefined - undefined |          
 141 | undefined - undefined |          
 143 | undefined - undefined |          
 145 | undefined - undefined |          
 148 | undefined - undefined |          
 149 | undefined - undefined |          
 150 | undefined - undefined |          
 151 | undefined - undefined |          
 153 | undefined - undefined |          
 157 | undefined - undefined |          
 160 | undefined - undefined |          
 162 | undefined - undefined |          
 164 | undefined - undefined |          
 168 | undefined - undefined |          
 170 | undefined - undefined |          
 172 | undefined - undefined |          
 177 | undefined - undefined |          
 179 | undefined - undefined |          
 181 | undefined - undefined |          
 183 | undefined - undefined |          
(69 rows)

